Block,Plate_number,Bacterial_strain,C.elegans_strain,Date_time_picked,Date_time_counted,Worms_ON,Worms_OFF,N_dead_worms,N_burrowed,Excl_from_sub20
4,20,Db10,EG4725,12/16/21 15:26,12/17/21 15:53,1,19,,,0
4,21,OP50,EG4725,12/16/21 15:32,12/17/21 10:51,19,0,,,0
4,21,OP50,EG4725,12/16/21 15:32,12/17/21 15:56,18,2,,,0
4,22,OP50,JU258,12/16/21 15:50,12/17/21 10:57,19,0,1,,1
4,22,OP50,JU258,12/16/21 15:50,12/17/21 16:01,18,0,1,,1
4,23,Db10,EG4725,12/16/21 15:56,12/17/21 11:01,1,17,1,,1
4,23,Db10,EG4725,12/16/21 15:56,12/17/21 16:07,1,18,1,,1
4,24,Db10,JU258,12/16/21 16:08,12/17/21 11:07,3,17,,,0
4,24,Db10,JU258,12/16/21 16:08,12/17/21 16:11,0,20,,,0
4,25,Db10,JU258,12/16/21 16:16,12/17/21 11:15,5,15,,,0
4,25,Db10,JU258,12/16/21 16:16,12/17/21 16:17,0,20,,,0
4,26,Db10,JU258,12/16/21 16:27,12/17/21 11:24,3,16,,,0
4,26,Db10,JU258,12/16/21 16:27,12/17/21 16:24,1,19,,,0
4,27,OP50,JU258,12/16/21 16:41,12/17/21 11:28,19,0,,,0
4,27,OP50,JU258,12/16/21 16:41,12/17/21 16:28,20,0,,,0
4,28,OP50,EG4725,12/16/21 16:47,12/17/21 11:32,20,0,,,0
4,28,OP50,EG4725,12/16/21 16:47,12/17/21 16:32,20,0,,,0
4,29,Db10,JU258,12/16/21 16:47,12/17/21 11:42,7,11,,,0
4,29,Db10,JU258,12/16/21 16:47,12/17/21 16:39,3,16,,,0
4,30,OP50,EG4725,12/16/21 16:50,12/17/21 11:44,19,1,,,0
4,30,OP50,EG4725,12/16/21 16:50,12/17/21 16:42,17,3,,,0
5,1,Db10,CX11314,2/17/22 12:43,2/18/22 8:16,5,15,,,0
5,1,Db10,CX11314,2/17/22 12:43,2/18/22 13:10,1,19,,,0
5,2,Db10,JT11398,2/17/22 13:02,2/18/22 8:27,4,16,,,0
5,2,Db10,JT11398,2/17/22 13:02,2/18/22 13:14,1,19,,,0
5,3,Db10,JT11398,2/17/22 13:16,2/18/22 8:38,4,13,,,0
5,3,Db10,JT11398,2/17/22 13:16,2/18/22 13:20,1,15,,,0
5,4,Db10,JT11398,2/17/22 13:33,2/18/22 8:42,1,15,,,0
5,4,Db10,JT11398,2/17/22 13:33,2/18/22 13:25,0,15,,,0
5,5,Db10,JT11398,2/17/22 13:46,2/18/22 8:49,2,17,,,0
5,5,Db10,JT11398,2/17/22 13:46,2/18/22 13:31,0,20,,,0
5,6,OP50,CX11314,2/17/22 13:59,2/18/22 8:55,19,1,,,0
5,6,OP50,CX11314,2/17/22 13:59,2/18/22 13:35,20,0,,,0
5,7,OP50,JT11398,2/17/22 14:06,2/18/22 8:59,19,1,,,0
5,7,OP50,JT11398,2/17/22 14:06,2/18/22 13:40,20,0,,,0
5,8,Db10,N2,2/17/22 14:08,2/18/22 9:03,2,18,,,0
5,8,Db10,N2,2/17/22 14:08,2/18/22 13:43,0,19,,,0
5,9,OP50,N2,2/17/22 14:20,2/18/22 9:08,19,1,,,0
5,9,OP50,N2,2/17/22 14:20,2/18/22 13:48,19,1,,,0
5,10,OP50,CX11314,2/17/22 14:26,2/18/22 9:15,20,0,,,0
5,10,OP50,CX11314,2/17/22 14:26,2/18/22 13:52,20,0,,,0
5,11,OP50,JT11398,2/17/22 14:29,2/18/22 9:18,19,1,,,0
